3.15000       743.4250       34.48276
       11.99700       741.2990       34.48276
       16.92300       740.8920       34.48276
       17.73600       740.9290       34.48276
       20.03000       740.7350       34.48276
       20.38900       740.4400       34.48276
       23.96900       740.3440       34.48276
       27.59200       740.5720       34.48276
       28.35500       740.7370       34.48276
       31.57400       740.6540       34.48276
       41.10900       740.5340       34.48276
       43.81400       740.6600       34.48276
       44.66700       740.6420       34.48276
       45.57200       740.5650       34.48276
       47.09100       740.6330       34.48276
       47.54500       740.7710       34.48276
       51.39500       740.8010       34.48276
       57.61500       740.7200       34.48276
       57.96800       740.5530       34.48276
       66.52000       740.5560       34.48276
       68.11400       740.4720       34.48276
       68.35400       740.2180       34.48276
       71.07000       739.9500       34.48276
       73.27100       740.0180       34.48276
       74.04400       740.3490       34.48276
       99.06600       740.8290       34.48276
      100.00800       740.8350       34.48276
      101.03000       740.7100       34.48276
      106.66300       740.6770       34.48276
      107.30500       740.5390       34.48276
      108.17200       740.4630       34.48276
      108.68700       740.4330       34.48276
      111.29400       740.5780       34.48276
      111.78500       740.8600       34.48276
      117.14500       743.6250       34.48276
