0	0.55	15
0.25	0.54	15
0.5	0.53	15
0.75	0.52	15
1	0.51	15
1.25	0.5	15
1.5	0.5	15
1.75	0.5	15
2	0.49	15
2.25	0.45	15
2.5	0.47	15
2.75	0.45	15
3	0.4	15
3.25	0.4	15
3.5	0.39	15
3.75	0.44	15
4	0.43	15
4.25	0.4	15
4.5	0.35	15
4.75	0.31	15
4.86	0.17	15
5	0.14	15
5.25	0.11	15
5.5	0.11	15
5.75	0.1	15
6	0.09	15
6.25	0.07	15
6.5	0.03	15
6.75	0.02	15
7	0	15
7.11	0.09	15
7.25	0.13	15
7.5	0.19	15
7.75	0.29	15
8	0.36	15
8.25	0.45	15
8.5	0.52	15
8.75	0.56	15
9	0.59	15
9.25	0.57	15
9.5	0.57	15
9.75	0.57	15
